battle,battleLabel,date,place,placeLabel,coordinates,country,countryLabel,troops
http://www.wikidata.org/entity/Q130779403,бои за Курахово,2024-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1023513,Курахово,Point(37.283333333 47.983333333),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q130779403,бои за Курахово,2024-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1023513,Курахово,Point(37.283333333 47.983333333),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q123290408,битва за Газу,2023-11-01T00:00:00Z,http://www.wikidata.org/entity/Q47492,Газа,Point(34.466666666 31.5),http://www.wikidata.org/entity/Q58967,Армия обороны Израиля,
http://www.wikidata.org/entity/Q123290408,битва за Газу,2023-11-01T00:00:00Z,http://www.wikidata.org/entity/Q47492,Газа,Point(34.466666666 31.5),http://www.wikidata.org/entity/Q281182,Бригады «Аль-Кудс»,
http://www.wikidata.org/entity/Q123290408,битва за Газу,2023-11-01T00:00:00Z,http://www.wikidata.org/entity/Q47492,Газа,Point(34.466666666 31.5),http://www.wikidata.org/entity/Q1475112,Бригады «Изз ад-Дин аль-Кассам»,
http://www.wikidata.org/entity/Q123058059,Бой за Суфу,2023-10-01T00:00:00Z,http://www.wikidata.org/entity/Q2890314,Суфа,Point(34.341388888 31.237222222),http://www.wikidata.org/entity/Q58967,Армия обороны Израиля,
http://www.wikidata.org/entity/Q123058059,Бой за Суфу,2023-10-01T00:00:00Z,http://www.wikidata.org/entity/Q2890314,Суфа,Point(34.341388888 31.237222222),http://www.wikidata.org/entity/Q38799,ХАМАС,
http://www.wikidata.org/entity/Q121756888,бои за Работино,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4386777,Работино,Point(35.833333333 47.45),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q121756888,бои за Работино,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4386777,Работино,Point(35.833333333 47.45),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q123369926,Бои в Бейт-Хануне,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q74176,Бейт-Ханун,Point(34.533333333 31.533333333),http://www.wikidata.org/entity/Q58967,Армия обороны Израиля,
http://www.wikidata.org/entity/Q123369926,Бои в Бейт-Хануне,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q74176,Бейт-Ханун,Point(34.533333333 31.533333333),http://www.wikidata.org/entity/Q1475112,Бригады «Изз ад-Дин аль-Кассам»,
http://www.wikidata.org/entity/Q112814277,Бои за «Азот»,2022-06-01T00:00:00Z,http://www.wikidata.org/entity/Q4412582,Азот,Point(38.474166666 48.941666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q112814277,Бои за «Азот»,2022-06-01T00:00:00Z,http://www.wikidata.org/entity/Q4412582,Азот,Point(38.474166666 48.941666666),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q112132985,Бои за Лиман,2022-05-01T00:00:00Z,http://www.wikidata.org/entity/Q2234641,Лиман,Point(37.8 48.983),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q112132985,Бои за Лиман,2022-05-01T00:00:00Z,http://www.wikidata.org/entity/Q2234641,Лиман,Point(37.8 48.983),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q111310085,блокада Мариуполя,2022-03-01T00:00:00Z,http://www.wikidata.org/entity/Q37133,Мариуполь,Point(37.533333333 47.1),http://www.wikidata.org/entity/Q23764150,Росгвардия,
http://www.wikidata.org/entity/Q111310085,блокада Мариуполя,2022-03-01T00:00:00Z,http://www.wikidata.org/entity/Q37133,Мариуполь,Point(37.533333333 47.1),http://www.wikidata.org/entity/Q111029471,Окупационные войска РФ на Донбассе,
http://www.wikidata.org/entity/Q111310085,блокада Мариуполя,2022-03-01T00:00:00Z,http://www.wikidata.org/entity/Q37133,Мариуполь,Point(37.533333333 47.1),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q111310085,блокада Мариуполя,2022-03-01T00:00:00Z,http://www.wikidata.org/entity/Q37133,Мариуполь,Point(37.533333333 47.1),http://www.wikidata.org/entity/Q4314832,Национальная гвардия Украины,
http://www.wikidata.org/entity/Q111310085,блокада Мариуполя,2022-03-01T00:00:00Z,http://www.wikidata.org/entity/Q37133,Мариуполь,Point(37.533333333 47.1),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111012552,атака на остров Змеиный,2022-02-24T00:00:00Z,http://www.wikidata.org/entity/Q155868,Остров Змеиный,Point(30.204166666 45.255),http://www.wikidata.org/entity/Q159,Россия,
http://www.wikidata.org/entity/Q111012552,атака на остров Змеиный,2022-02-24T00:00:00Z,http://www.wikidata.org/entity/Q155868,Остров Змеиный,Point(30.204166666 45.255),http://www.wikidata.org/entity/Q212,Украина,
http://www.wikidata.org/entity/Q111030201,битва за Бердянск,2022-02-01T00:00:00Z,http://www.wikidata.org/entity/Q33292,Бердянск,Point(36.788611111 46.756666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111030201,битва за Бердянск,2022-02-01T00:00:00Z,http://www.wikidata.org/entity/Q33292,Бердянск,Point(36.788611111 46.756666666),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q113111947,Бои за Северск,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1940853,Северск,Point(38.083333333 48.866666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q113111947,Бои за Северск,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1940853,Северск,Point(38.083333333 48.866666666),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q111383254,бои за Рубежное,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q922375,Рубежное,Point(38.416666666 49.0),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111064027,Бои за Горловку,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q157260,Горловка,Point(38.0 48.333333333),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111064027,Бои за Горловку,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q157260,Горловка,Point(38.0 48.333333333),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q112114966,бои за Лисичанск,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q33280,Лисичанск,Point(38.416666666 48.916666666),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q112114966,бои за Лисичанск,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q33280,Лисичанск,Point(38.416666666 48.916666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111383254,бои за Рубежное,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q922375,Рубежное,Point(38.416666666 49.0),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q111154781,Бои за Бучу,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1013474,Буча,Point(30.216666666 50.55),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q111154781,Бои за Бучу,2022-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1013474,Буча,Point(30.216666666 50.55),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q108102583,Падение Кабула,2021-08-15T00:00:00Z,http://www.wikidata.org/entity/Q5838,Кабул,Point(69.166666666 34.5),http://www.wikidata.org/entity/Q42418,Талибан,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q44302,Нагорный Карабах,Point(46.7475 39.76),http://www.wikidata.org/entity/Q227,Азербайджан,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q44302,Нагорный Карабах,Point(46.7475 39.76),http://www.wikidata.org/entity/Q399,Армения,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q158903,Шуша,Point(46.7475 39.76),http://www.wikidata.org/entity/Q227,Азербайджан,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q158903,Шуша,Point(46.7475 39.76),http://www.wikidata.org/entity/Q399,Армения,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q44302,Нагорный Карабах,Point(46.7475 39.76),http://www.wikidata.org/entity/Q244165,Нагорно-Карабахская Республика,
http://www.wikidata.org/entity/Q101305942,Битва за Шушу (2020),2020-11-01T00:00:00Z,http://www.wikidata.org/entity/Q158903,Шуша,Point(46.7475 39.76),http://www.wikidata.org/entity/Q244165,Нагорно-Карабахская Республика,
http://www.wikidata.org/entity/Q114500533,бои на участке Сватово — Кременная,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q181386,Восточная Украина,Point(38.0 49.333333333),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q114500533,бои на участке Сватово — Кременная,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q181386,Восточная Украина,Point(38.0 49.333333333),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q114500533,бои на участке Сватово — Кременная,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q181386,Восточная Украина,Point(38.0 49.333333333),http://www.wikidata.org/entity/Q16325269,Народная милиция ЛНР,
http://www.wikidata.org/entity/Q114566556,бои за Сватово,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2414524,Сватово,Point(38.166666666 49.416666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q114566556,бои за Сватово,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2414524,Сватово,Point(38.166666666 49.416666666),http://www.wikidata.org/entity/Q936105,Вооружённые силы Украины,
http://www.wikidata.org/entity/Q112842362,бои за Угледар,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2416423,Угледар,Point(37.25 47.783333333),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q112245529,бои за Марьинку,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2494365,Марьинка,Point(37.5 47.941666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
http://www.wikidata.org/entity/Q113686822,Бои за Орехов,2020-01-01T00:00:00Z,http://www.wikidata.org/entity/Q521105,Орехов,Point(35.783333333 47.566666666),http://www.wikidata.org/entity/Q193159,Вооружённые силы Российской Федерации,
